"ano","variable","etiqueta","valor_millones_eur","valor_pct_pib","unidad_principal","estado_dato","fuente","definicion","nota"
"1997","gasto_publico_total","Gasto publico total","215299","41.485748","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1997","gasto_sanidad","Gasto publico en sanidad","26523","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1997","intereses_deuda","Intereses de la deuda","23548","4.53744","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1997","pib","PIB","518971","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1998","deficit_saldo_publico","Deficit o saldo publico","-14594","-2.626904","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1998","deuda_publica_total","Deuda publica total","346416.957","62.354666","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1998","gasto_pensiones","Gasto publico en pensiones","46821","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"1998","gasto_publico_total","Gasto publico total","227597","40.967206","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1998","gasto_sanidad","Gasto publico en sanidad","28367","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1998","intereses_deuda","Intereses de la deuda","22604","4.068695","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1998","pib","PIB","555559","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1999","deficit_saldo_publico","Deficit o saldo publico","-7382","-1.240168","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1999","deuda_publica_total","Deuda publica total","362223.473","60.853144","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1999","gasto_pensiones","Gasto publico en pensiones","49695","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"1999","gasto_publico_total","Gasto publico total","237779","39.94661","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1999","gasto_sanidad","Gasto publico en sanidad","30498","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1999","intereses_deuda","Intereses de la deuda","20315","3.412898","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1999","pib","PIB","595242","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2000","deficit_saldo_publico","Deficit o saldo publico","-7520","-1.161266","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2000","deuda_publica_total","Deuda publica total","374557.237","57.840514","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2000","gasto_pensiones","Gasto publico en pensiones","53000","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2000","gasto_publico_total","Gasto publico total","253267","39.110427","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2000","gasto_sanidad","Gasto publico en sanidad","33324","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2000","intereses_deuda","Intereses de la deuda","20492","3.16445","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2000","pib","PIB","647569","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2001","deficit_saldo_publico","Deficit o saldo publico","-3189","-0.454949","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2001","deuda_publica_total","Deuda publica total","378883.415","54.052228","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2001","gasto_pensiones","Gasto publico en pensiones","55661","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2001","gasto_publico_total","Gasto publico total","269195","38.40387","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2001","gasto_sanidad","Gasto publico en sanidad","35370","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2001","intereses_deuda","Intereses de la deuda","20822","2.970506","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2001","pib","PIB","700958","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2002","deficit_saldo_publico","Deficit o saldo publico","-2356","-0.314241","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2002","deuda_publica_total","Deuda publica total","384145.341","51.236868","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2002","gasto_pensiones","Gasto publico en pensiones","59902","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2002","gasto_publico_total","Gasto publico total","289527","38.616781","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2002","gasto_sanidad","Gasto publico en sanidad","38354","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2002","intereses_deuda","Intereses de la deuda","19721","2.630364","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2002","pib","PIB","749744","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2003","deficit_saldo_publico","Deficit o saldo publico","-3009","-0.374868","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2003","deuda_publica_total","Deuda publica total","382775.032","47.686949","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2003","gasto_pensiones","Gasto publico en pensiones","63712","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2003","gasto_publico_total","Gasto publico total","307796","38.345897","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2003","gasto_sanidad","Gasto publico en sanidad","41512","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2003","intereses_deuda","Intereses de la deuda","18474","2.301531","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2003","pib","PIB","802683","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2004","deficit_saldo_publico","Deficit o saldo publico","-941","-0.109411","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2004","deuda_publica_total","Deuda publica total","389887.93","45.332696","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2004","gasto_pensiones","Gasto publico en pensiones","68348","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2004","gasto_publico_total","Gasto publico total","333666","38.795711","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2004","gasto_sanidad","Gasto publico en sanidad","46914","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2004","intereses_deuda","Intereses de la deuda","17116","1.990096","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2004","pib","PIB","860059","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2005","deficit_saldo_publico","Deficit o saldo publico","11421","1.230549","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2005","deuda_publica_total","Deuda publica total","393479.084","42.39519","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2005","gasto_pensiones","Gasto publico en pensiones","73571","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2005","gasto_publico_total","Gasto publico total","356785","38.441606","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2005","gasto_sanidad","Gasto publico en sanidad","52462","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2005","intereses_deuda","Intereses de la deuda","16217","1.747292","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2005","pib","PIB","928122","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2006","deficit_saldo_publico","Deficit o saldo publico","21322","2.121643","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2006","deuda_publica_total","Deuda publica total","392132.17","39.019058","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2006","gasto_pensiones","Gasto publico en pensiones","79636","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2006","gasto_publico_total","Gasto publico total","385757","38.384698","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2006","gasto_sanidad","Gasto publico en sanidad","56708","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2006","intereses_deuda","Intereses de la deuda","16186","1.610586","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2006","pib","PIB","1004976","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2007","deficit_saldo_publico","Deficit o saldo publico","20287","1.882713","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2007","deuda_publica_total","Deuda publica total","384661.956","35.698127","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2007","gasto_pensiones","Gasto publico en pensiones","85327","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2007","gasto_publico_total","Gasto publico total","422164","39.178463","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2007","gasto_sanidad","Gasto publico en sanidad","61270","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2007","intereses_deuda","Intereses de la deuda","17032","1.580636","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2007","pib","PIB","1077541","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2008","deficit_saldo_publico","Deficit o saldo publico","-50731","-4.560369","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2008","deuda_publica_total","Deuda publica total","440620.965","39.6088","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2008","gasto_pensiones","Gasto publico en pensiones","90758","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2008","gasto_publico_total","Gasto publico total","459813","41.334032","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2008","gasto_sanidad","Gasto publico en sanidad","67347","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2008","intereses_deuda","Intereses de la deuda","17554","1.577984","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2008","pib","PIB","1112432","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2009","deficit_saldo_publico","Deficit o saldo publico","-120576","-11.237383","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2009","deuda_publica_total","Deuda publica total","569535.359","53.079279","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2009","gasto_pensiones","Gasto publico en pensiones","97132","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2009","gasto_publico_total","Gasto publico total","494353","46.07247","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2009","gasto_sanidad","Gasto publico en sanidad","72993","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2009","intereses_deuda","Intereses de la deuda","18369","1.711945","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2009","pib","PIB","1072990","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2010","deficit_saldo_publico","Deficit o saldo publico","-102193","-9.487395","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2010","deuda_publica_total","Deuda publica total","649152.53","60.26603","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2010","gasto_pensiones","Gasto publico en pensiones","102644","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2010","gasto_publico_total","Gasto publico total","493817","45.844988","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2010","gasto_sanidad","Gasto publico en sanidad","71145","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2010","intereses_deuda","Intereses de la deuda","20447","1.898259","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2010","pib","PIB","1077145","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"2011","deficit_saldo_publico","Deficit o saldo publico","-103575","-9.691772","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"2011","deuda_publica_total","Deuda publica total","743043.161","69.52841","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"2011","gasto_pensiones","Gasto publico en pensiones","107245","","millones de euros corrientes","observado_aproximado","IGAE COFOG Administraciones Publicas S.13","Aproximacion COFOG: 10.2 Vejez + 10.3 Supervivientes.","No equivale exactamente a gasto presupuestario puro en pensiones."
"2011","gasto_publico_total","Gasto publico total","490908","45.935491","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"2011","gasto_sanidad","Gasto publico en sanidad","69312","","millones de euros corrientes","observado","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud.","No equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2011","intereses_deuda","Intereses de la deuda","26571","2.486315","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"2011","pib","PIB","1068690","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
